# Gait Analysis Data - MPU6050 IMU
# Duration: 10 seconds
# Format: timestamp(s),ax(g),ay(g),az(g),gx(deg/s),gy(deg/s),gz(deg/s),temp(C)
# Note: Document sensor placement (ankle/wrist) separately
timestamp,ax,ay,az,gx,gy,gz,temp
0.001313,1.143000,-0.504000,-0.429000,-4.260000,-21.130000,-62.046000,28.58
0.002504,1.102000,-0.407000,-0.521000,-12.046000,-23.115000,-56.031000,28.62
0.003787,1.013000,-0.322000,-0.576000,-11.344000,-34.718000,-46.672000,28.67
0.005071,0.864000,-0.250000,-0.630000,-9.618000,-39.496000,-38.901000,28.67
0.006176,0.697000,-0.207000,-0.671000,-11.466000,-40.229000,-34.718000,28.67
0.007127,0.644000,-0.154000,-0.722000,-15.664000,-37.954000,-34.275000,28.62
0.008049,0.622000,-0.102000,-0.750000,-17.267000,-35.206000,-33.740000,28.62
0.009058,0.631000,-0.109000,-0.737000,-17.084000,-33.466000,-31.634000,28.58
0.010195,0.669000,-0.145000,-0.744000,-18.153000,-37.023000,-30.519000,28.58
0.011315,0.667000,-0.149000,-0.733000,-21.496000,-40.229000,-29.023000,28.62
0.012327,0.646000,-0.167000,-0.729000,-27.053000,-39.863000,-27.191000,28.62
0.013284,0.666000,-0.203000,-0.747000,-37.267000,-38.779000,-26.702000,28.67
0.014225,0.679000,-0.296000,-0.701000,-49.435000,-40.580000,-25.511000,28.58
0.015026,0.723000,-0.206000,-0.595000,-47.649000,-43.023000,-19.496000,28.53
0.015818,0.787000,-0.230000,-0.457000,-39.496000,-40.336000,-12.611000,28.62
0.016607,0.824000,-0.259000,-0.358000,-31.084000,-35.115000,-9.664000,28.58
0.017397,0.870000,-0.243000,-0.250000,-23.496000,-32.260000,-10.473000,28.77
0.018184,0.898000,-0.211000,-0.131000,-14.397000,-25.588000,-11.649000,28.62
0.019099,0.952000,-0.201000,0.036000,-3.847000,-11.954000,-15.786000,28.67
0.020066,1.096000,-0.260000,0.242000,12.000000,3.771000,-25.252000,28.67
0.020813,1.207000,-0.305000,0.579000,35.282000,22.702000,-32.718000,28.67
0.021589,1.233000,-0.347000,0.881000,59.939000,58.687000,-39.206000,28.62
0.022390,1.273000,-0.467000,1.289000,82.992000,106.000000,-40.351000,28.72
0.023097,0.468000,-0.191000,0.450000,95.542000,172.733000,-35.527000,28.67
0.023881,1.436000,-0.266000,-1.902000,78.977000,150.489000,-23.176000,28.53
0.024608,1.025000,-1.008000,-1.381000,67.282000,43.237000,28.855000,28.62
0.025309,0.019000,-0.805000,-0.339000,55.893000,117.985000,53.725000,28.67
0.025996,0.713000,-0.441000,-0.817000,24.427000,168.321000,28.427000,28.58
0.026679,2.393000,0.629000,-1.031000,55.725000,54.382000,31.450000,28.62
0.027369,1.422000,-0.391000,-0.521000,63.099000,-0.748000,47.160000,28.53
0.028053,0.663000,-0.433000,-1.067000,56.107000,11.969000,36.794000,28.77
0.028810,0.531000,-0.326000,-0.844000,47.115000,-17.389000,29.664000,28.58
